Referans,2023 Liste Fiyatı,Para Birimi
A9F73316,1030.2,TL
A9F73320,1030.2,TL
A9F73325,1030.2,TL
A9F73332,1050.6,TL
A9F73340,1091.4,TL
A9F73350,1489.2,TL
A9F73363,1659.2,TL
A9F73370,1499.4,TL
A9F73401,1819,TL
A9F73402,1713.6,TL
A9F73406,1404.2,TL
A9F73410,1394,TL
A9F73416,1394,TL
A9F73432,1431.4,TL
A9F73450,2199.8,TL
A9F73463,2339.2,TL
A9F74102,289,TL
A9R10225,2145.4,TL
A9R11280,3158.6,TL
A9R11491,7684,TL
A9R14280,2431,TL
A9R14291,3828.4,TL
A9R14480,3648.2,TL
A9R14491,6290,TL
A9R15263,2849.2,TL
A9R15440,3627.8,TL
A9R15463,4052.8,TL
A9R15480,7276,TL
A9R15491,12478,TL
A9R30225,2934.2,TL
A9R31491,11764,TL
A9R34491,9962,TL
A9R35240,4739.6,TL
A9R35263,5338,TL
A9R35440,5576,TL
A9R35463,6188,TL
A9R35480,10506,TL
A9R35491,17986,TL
A9R41240,1761.2,TL
A9R41263,1921,TL
A9R41425,2077.4,TL
A9F74103,289,TL
A9F74104,289,TL
A9F74110,234.6,TL
A9F74120,234.6,TL
A9F74125,234.6,TL
A9F74140,302.6,TL
A9F74150,418.2,TL
A9F74170,445.4,TL
A9F74201,829.6,TL
A9F74202,775.2,TL
A9F74203,775.2,TL
A9F74204,775.2,TL
A9F74206,680,TL
A9F74210,680,TL
A9F74220,680,TL
A9F74225,680,TL
A9F74232,707.2,TL
A9F74240,768.4,TL
A9F74250,1043.8,TL
A9F74270,914.6,TL
A9F74302,1125.4,TL
A9F74303,1125.4,TL
A9F74304,1125.4,TL
A9F74316,989.4,TL
A9R41463,2461.6,TL
A9R44225,1380.4,TL
A9R44240,1428,TL
A9R44425,1931.2,TL
A9R44440,1982.2,TL
A9R44463,2257.6,TL
A9R50240,1587.8,TL
A9R50425,2006,TL
A9R61225,1999.2,TL
A9R61240,2084.2,TL
A9R61263,2740.4,TL
A9R61425,2798.2,TL
A9R61463,3366,TL
A9R75225,1244.4,TL
A9R75240,1309,TL
A9R75440,1819,TL
A9F74320,989.4,TL
A9F74325,989.4,TL
A9F74332,1037,TL
A9F74340,1179.8,TL
A9F74350,1489.2,TL
A9F74370,1346.4,TL
A9F74401,1574.2,TL
A9F74402,1482.4,TL
A9F74403,1482.4,TL
A9F74404,1482.4,TL
A9F74406,1339.6,TL
A9F74410,1339.6,TL
A9F74416,1339.6,TL
A9F74425,1339.6,TL
A9F74432,1377,TL
A9F74450,2097.8,TL
A9F74463,2471.8,TL
A9F74470,1822.4,TL
A9S60320,1509.6,TL
A9V41263,2907,TL
A9V41363,3141.6,TL
A9V41463,3641.4,TL
A9V44263,2696.2,TL
A9V44463,3525.8,TL
A9V61263,4001.8,TL
A9V61463,4957.2,TL
A9V65263,3631.2,TL
A9V65463,4773.6,TL
A9F75210,819.4,TL
A9F75225,819.4,TL
A9F75406,1628.6,TL
A9F75425,1676.2,TL
A9F83110,391,TL
A9F83120,391,TL
